data,totale_casi,denominazione_provincia
2024-01-01 17:00:00,233668,Foggia
2024-01-02 17:00:00,233687,Foggia
2024-01-03 17:00:00,233791,Foggia
2024-01-04 17:00:00,233864,Foggia
2024-01-05 17:00:00,233922,Foggia
2024-01-06 17:00:00,233960,Foggia
2024-01-07 17:00:00,233975,Foggia
2024-01-08 17:00:00,233990,Foggia
2024-01-09 17:00:00,234067,Foggia
2024-01-10 17:00:00,234093,Foggia
2024-01-11 17:00:00,234129,Foggia
2024-01-12 17:00:00,234167,Foggia
2024-01-13 17:00:00,234186,Foggia
2024-01-14 17:00:00,234207,Foggia
2024-01-15 17:00:00,234210,Foggia
2024-01-16 17:00:00,234244,Foggia
2024-01-17 17:00:00,234264,Foggia
2024-01-18 17:00:00,234271,Foggia
2024-01-19 17:00:00,234285,Foggia
2024-01-20 17:00:00,234297,Foggia
2024-01-21 17:00:00,234302,Foggia
2024-01-22 17:00:00,234304,Foggia
2024-01-23 17:00:00,234320,Foggia
2024-01-24 17:00:00,234326,Foggia
2024-01-25 17:00:00,234334,Foggia
2024-01-26 17:00:00,234342,Foggia
2024-01-27 17:00:00,234346,Foggia
2024-01-28 17:00:00,234353,Foggia
2024-01-29 17:00:00,234355,Foggia
2024-01-30 17:00:00,234367,Foggia
2024-01-31 17:00:00,234380,Foggia
2024-02-01 17:00:00,234389,Foggia
2024-02-02 17:00:00,234393,Foggia
2024-02-03 17:00:00,234395,Foggia
2024-02-04 17:00:00,234397,Foggia
2024-02-05 17:00:00,234397,Foggia
2024-02-06 17:00:00,234402,Foggia
2024-02-07 17:00:00,234407,Foggia
2024-02-08 17:00:00,234415,Foggia
2024-02-09 17:00:00,234418,Foggia
2024-02-10 17:00:00,234423,Foggia
2024-02-11 17:00:00,234425,Foggia
2024-02-12 17:00:00,234425,Foggia
2024-02-13 17:00:00,234431,Foggia
2024-02-14 17:00:00,234438,Foggia
2024-02-15 17:00:00,234437,Foggia
2024-02-16 17:00:00,234439,Foggia
2024-02-17 17:00:00,234440,Foggia
2024-02-18 17:00:00,234441,Foggia
2024-02-19 17:00:00,234441,Foggia
2024-02-20 17:00:00,234445,Foggia
2024-02-21 17:00:00,234445,Foggia
2024-02-22 17:00:00,234447,Foggia
2024-02-23 17:00:00,234444,Foggia
2024-02-24 17:00:00,234444,Foggia
2024-02-25 17:00:00,234443,Foggia
2024-02-26 17:00:00,234443,Foggia
2024-02-27 17:00:00,234444,Foggia
2024-02-28 17:00:00,234446,Foggia
2024-02-29 17:00:00,234446,Foggia
2024-03-01 17:00:00,234447,Foggia
2024-03-02 17:00:00,234449,Foggia
2024-03-03 17:00:00,234450,Foggia
2024-03-04 17:00:00,234450,Foggia
2024-03-05 17:00:00,234454,Foggia
2024-03-06 17:00:00,234454,Foggia
2024-03-07 17:00:00,234455,Foggia
2024-03-08 17:00:00,234459,Foggia
2024-03-09 17:00:00,234460,Foggia
2024-03-10 17:00:00,234464,Foggia
2024-03-11 17:00:00,234466,Foggia
2024-03-12 17:00:00,234472,Foggia
2024-03-13 17:00:00,234472,Foggia
2024-03-14 17:00:00,234473,Foggia
2024-03-15 17:00:00,234475,Foggia
2024-03-16 17:00:00,234476,Foggia
2024-03-17 17:00:00,234476,Foggia
2024-03-18 17:00:00,234476,Foggia
2024-03-19 17:00:00,234478,Foggia
2024-03-20 17:00:00,234479,Foggia
2024-03-21 17:00:00,234480,Foggia
2024-03-22 17:00:00,234481,Foggia
2024-03-23 17:00:00,234487,Foggia
2024-03-24 17:00:00,234489,Foggia
2024-03-25 17:00:00,234489,Foggia
2024-03-26 17:00:00,234493,Foggia
2024-03-27 17:00:00,234493,Foggia
2024-03-28 17:00:00,234494,Foggia
2024-03-29 17:00:00,234493,Foggia
2024-03-30 17:00:00,234493,Foggia
2024-03-31 17:00:00,234495,Foggia
2024-04-01 17:00:00,234496,Foggia
2024-04-02 17:00:00,234498,Foggia
2024-04-03 17:00:00,234502,Foggia
2024-04-04 17:00:00,234503,Foggia
2024-04-05 17:00:00,234503,Foggia
2024-04-06 17:00:00,234502,Foggia
2024-04-07 17:00:00,234502,Foggia
2024-04-08 17:00:00,234502,Foggia
2024-04-09 17:00:00,234502,Foggia
2024-04-10 17:00:00,234502,Foggia
2024-04-11 17:00:00,234502,Foggia
2024-04-12 17:00:00,234503,Foggia
2024-04-13 17:00:00,234506,Foggia
2024-04-14 17:00:00,234506,Foggia
2024-04-15 17:00:00,234506,Foggia
2024-04-16 17:00:00,234506,Foggia
2024-04-17 17:00:00,234506,Foggia
2024-04-18 17:00:00,234506,Foggia
2024-04-19 17:00:00,234507,Foggia
2024-04-20 17:00:00,234509,Foggia
2024-04-21 17:00:00,234510,Foggia
2024-04-22 17:00:00,234510,Foggia
2024-04-23 17:00:00,234513,Foggia
2024-04-24 17:00:00,234514,Foggia
2024-04-25 17:00:00,234514,Foggia
2024-04-26 17:00:00,234515,Foggia
2024-04-27 17:00:00,234518,Foggia
2024-04-28 17:00:00,234518,Foggia
2024-04-29 17:00:00,234518,Foggia
2024-04-30 17:00:00,234523,Foggia
2024-05-01 17:00:00,234526,Foggia
2024-05-02 17:00:00,234526,Foggia
2024-05-03 17:00:00,234528,Foggia
2024-05-04 17:00:00,234533,Foggia
2024-05-05 17:00:00,234533,Foggia
2024-05-06 17:00:00,234534,Foggia
2024-05-07 17:00:00,234538,Foggia
2024-05-08 17:00:00,234540,Foggia
2024-05-09 17:00:00,234542,Foggia
2024-05-10 17:00:00,234544,Foggia
2024-05-11 17:00:00,234544,Foggia
2024-05-12 17:00:00,234544,Foggia
2024-05-13 17:00:00,234544,Foggia
2024-05-14 17:00:00,234546,Foggia
2024-05-15 17:00:00,234551,Foggia
2024-05-16 17:00:00,234554,Foggia
2024-05-17 17:00:00,234554,Foggia
2024-05-18 17:00:00,234554,Foggia
2024-05-19 17:00:00,234555,Foggia
2024-05-20 17:00:00,234557,Foggia
2024-05-21 17:00:00,234559,Foggia
2024-05-22 17:00:00,234559,Foggia
2024-05-23 17:00:00,234559,Foggia
2024-05-24 17:00:00,234561,Foggia
2024-05-25 17:00:00,234563,Foggia
2024-05-26 17:00:00,234566,Foggia
2024-05-27 17:00:00,234566,Foggia
2024-05-28 17:00:00,234568,Foggia
2024-05-29 17:00:00,234569,Foggia
2024-05-30 17:00:00,234570,Foggia
2024-05-31 17:00:00,234572,Foggia
2024-06-01 17:00:00,234574,Foggia
