data,totale_casi,denominazione_provincia
2024-01-01 17:00:00,179818,Lucca
2024-01-02 17:00:00,179829,Lucca
2024-01-03 17:00:00,179865,Lucca
2024-01-04 17:00:00,179883,Lucca
2024-01-05 17:00:00,179898,Lucca
2024-01-06 17:00:00,179911,Lucca
2024-01-07 17:00:00,179915,Lucca
2024-01-08 17:00:00,179925,Lucca
2024-01-09 17:00:00,179945,Lucca
2024-01-10 17:00:00,179959,Lucca
2024-01-11 17:00:00,179968,Lucca
2024-01-12 17:00:00,179971,Lucca
2024-01-13 17:00:00,179978,Lucca
2024-01-14 17:00:00,179981,Lucca
2024-01-15 17:00:00,179984,Lucca
2024-01-16 17:00:00,179993,Lucca
2024-01-17 17:00:00,179996,Lucca
2024-01-18 17:00:00,180002,Lucca
2024-01-19 17:00:00,180006,Lucca
2024-01-20 17:00:00,180012,Lucca
2024-01-21 17:00:00,180017,Lucca
2024-01-22 17:00:00,180018,Lucca
2024-01-23 17:00:00,180020,Lucca
2024-01-24 17:00:00,180021,Lucca
2024-01-25 17:00:00,180023,Lucca
2024-01-26 17:00:00,180023,Lucca
2024-01-27 17:00:00,180024,Lucca
2024-01-28 17:00:00,180026,Lucca
2024-01-29 17:00:00,180026,Lucca
2024-01-30 17:00:00,180029,Lucca
2024-01-31 17:00:00,180033,Lucca
2024-02-01 17:00:00,180034,Lucca
2024-02-02 17:00:00,180035,Lucca
2024-02-03 17:00:00,180037,Lucca
2024-02-04 17:00:00,180038,Lucca
2024-02-05 17:00:00,180038,Lucca
2024-02-06 17:00:00,180038,Lucca
2024-02-07 17:00:00,180042,Lucca
2024-02-08 17:00:00,180042,Lucca
2024-02-09 17:00:00,180043,Lucca
2024-02-10 17:00:00,180044,Lucca
2024-02-11 17:00:00,180045,Lucca
2024-02-12 17:00:00,180045,Lucca
2024-02-13 17:00:00,180046,Lucca
2024-02-14 17:00:00,180046,Lucca
2024-02-15 17:00:00,180047,Lucca
2024-02-16 17:00:00,180047,Lucca
2024-02-17 17:00:00,180047,Lucca
2024-02-18 17:00:00,180047,Lucca
2024-02-19 17:00:00,180049,Lucca
2024-02-20 17:00:00,180051,Lucca
2024-02-21 17:00:00,180052,Lucca
2024-02-22 17:00:00,180053,Lucca
2024-02-23 17:00:00,180054,Lucca
2024-02-24 17:00:00,180054,Lucca
2024-02-25 17:00:00,180055,Lucca
2024-02-26 17:00:00,180055,Lucca
2024-02-27 17:00:00,180056,Lucca
2024-02-28 17:00:00,180056,Lucca
2024-02-29 17:00:00,180056,Lucca
2024-03-01 17:00:00,180057,Lucca
2024-03-02 17:00:00,180057,Lucca
2024-03-03 17:00:00,180058,Lucca
2024-03-04 17:00:00,180058,Lucca
2024-03-05 17:00:00,180058,Lucca
2024-03-06 17:00:00,180058,Lucca
2024-03-07 17:00:00,180058,Lucca
2024-03-08 17:00:00,180058,Lucca
2024-03-09 17:00:00,180060,Lucca
2024-03-10 17:00:00,180062,Lucca
2024-03-11 17:00:00,180062,Lucca
2024-03-12 17:00:00,180062,Lucca
2024-03-13 17:00:00,180063,Lucca
2024-03-14 17:00:00,180064,Lucca
2024-03-15 17:00:00,180064,Lucca
2024-03-16 17:00:00,180064,Lucca
2024-03-17 17:00:00,180065,Lucca
2024-03-18 17:00:00,180065,Lucca
2024-03-19 17:00:00,180065,Lucca
2024-03-20 17:00:00,180066,Lucca
2024-03-21 17:00:00,180066,Lucca
2024-03-22 17:00:00,180066,Lucca
2024-03-23 17:00:00,180067,Lucca
2024-03-24 17:00:00,180067,Lucca
2024-03-25 17:00:00,180067,Lucca
2024-03-26 17:00:00,180067,Lucca
2024-03-27 17:00:00,180067,Lucca
2024-03-28 17:00:00,180067,Lucca
2024-03-29 17:00:00,180067,Lucca
2024-03-30 17:00:00,180068,Lucca
2024-03-31 17:00:00,180068,Lucca
2024-04-01 17:00:00,180068,Lucca
2024-04-02 17:00:00,180068,Lucca
2024-04-03 17:00:00,180068,Lucca
2024-04-04 17:00:00,180068,Lucca
2024-04-05 17:00:00,180068,Lucca
2024-04-06 17:00:00,180068,Lucca
2024-04-07 17:00:00,180068,Lucca
2024-04-08 17:00:00,180068,Lucca
