data,totale_casi,denominazione_provincia
2024-01-01 17:00:00,1336665,Napoli
2024-01-02 17:00:00,1336764,Napoli
2024-01-03 17:00:00,1337277,Napoli
2024-01-04 17:00:00,1337581,Napoli
2024-01-05 17:00:00,1337859,Napoli
2024-01-06 17:00:00,1338099,Napoli
2024-01-07 17:00:00,1338161,Napoli
2024-01-08 17:00:00,1338243,Napoli
2024-01-09 17:00:00,1338518,Napoli
2024-01-10 17:00:00,1338679,Napoli
2024-01-11 17:00:00,1338823,Napoli
2024-01-12 17:00:00,1338916,Napoli
2024-01-13 17:00:00,1338997,Napoli
2024-01-14 17:00:00,1339052,Napoli
2024-01-15 17:00:00,1339085,Napoli
2024-01-16 17:00:00,1339213,Napoli
2024-01-17 17:00:00,1339296,Napoli
2024-01-18 17:00:00,1339344,Napoli
2024-01-19 17:00:00,1339402,Napoli
2024-01-20 17:00:00,1339472,Napoli
2024-01-21 17:00:00,1339497,Napoli
2024-01-22 17:00:00,1339518,Napoli
2024-01-23 17:00:00,1339570,Napoli
2024-01-24 17:00:00,1339602,Napoli
2024-01-25 17:00:00,1339637,Napoli
2024-01-26 17:00:00,1339667,Napoli
2024-01-27 17:00:00,1339692,Napoli
2024-01-28 17:00:00,1339711,Napoli
2024-01-29 17:00:00,1339722,Napoli
2024-01-30 17:00:00,1339763,Napoli
2024-01-31 17:00:00,1339792,Napoli
2024-02-01 17:00:00,1339815,Napoli
2024-02-02 17:00:00,1339838,Napoli
2024-02-03 17:00:00,1339856,Napoli
2024-02-04 17:00:00,1339866,Napoli
2024-02-05 17:00:00,1339876,Napoli
2024-02-06 17:00:00,1339906,Napoli
2024-02-07 17:00:00,1339934,Napoli
2024-02-08 17:00:00,1339956,Napoli
2024-02-09 17:00:00,1339974,Napoli
2024-02-10 17:00:00,1339982,Napoli
2024-02-11 17:00:00,1339995,Napoli
2024-02-12 17:00:00,1340003,Napoli
2024-02-13 17:00:00,1340029,Napoli
2024-02-14 17:00:00,1340042,Napoli
2024-02-15 17:00:00,1340055,Napoli
2024-02-16 17:00:00,1340066,Napoli
2024-02-17 17:00:00,1340077,Napoli
2024-02-18 17:00:00,1340088,Napoli
2024-02-19 17:00:00,1340094,Napoli
2024-02-20 17:00:00,1340109,Napoli
2024-02-21 17:00:00,1340117,Napoli
2024-02-22 17:00:00,1340126,Napoli
2024-02-23 17:00:00,1340133,Napoli
2024-02-24 17:00:00,1340139,Napoli
2024-02-25 17:00:00,1340143,Napoli
2024-02-26 17:00:00,1340148,Napoli
2024-02-27 17:00:00,1340156,Napoli
2024-02-28 17:00:00,1340158,Napoli
2024-02-29 17:00:00,1340162,Napoli
2024-03-01 17:00:00,1340166,Napoli
2024-03-02 17:00:00,1340170,Napoli
2024-03-03 17:00:00,1340175,Napoli
2024-03-04 17:00:00,1340176,Napoli
2024-03-05 17:00:00,1340182,Napoli
2024-03-06 17:00:00,1340182,Napoli
2024-03-07 17:00:00,1340187,Napoli
2024-03-08 17:00:00,1340192,Napoli
2024-03-09 17:00:00,1340195,Napoli
2024-03-10 17:00:00,1340197,Napoli
2024-03-11 17:00:00,18033,Napoli
2024-03-12 17:00:00,1340207,Napoli
2024-03-13 17:00:00,1340211,Napoli
2024-03-14 17:00:00,1340214,Napoli
2024-03-15 17:00:00,1340221,Napoli
2024-03-16 17:00:00,1340224,Napoli
2024-03-17 17:00:00,1340225,Napoli
2024-03-18 17:00:00,1340230,Napoli
2024-03-19 17:00:00,1340237,Napoli
2024-03-20 17:00:00,1340240,Napoli
2024-03-21 17:00:00,1340247,Napoli
2024-03-22 17:00:00,1340251,Napoli
2024-03-23 17:00:00,1340253,Napoli
2024-03-24 17:00:00,1340259,Napoli
2024-03-25 17:00:00,1340261,Napoli
2024-03-26 17:00:00,1340269,Napoli
2024-03-27 17:00:00,1340271,Napoli
2024-03-28 17:00:00,1340273,Napoli
2024-03-29 17:00:00,1340275,Napoli
2024-03-30 17:00:00,1340279,Napoli
2024-03-31 17:00:00,1340280,Napoli
2024-04-01 17:00:00,1340280,Napoli
2024-04-02 17:00:00,1340283,Napoli
2024-04-03 17:00:00,1340287,Napoli
2024-04-04 17:00:00,1340291,Napoli
2024-04-05 17:00:00,1340294,Napoli
2024-04-06 17:00:00,1340298,Napoli
2024-04-07 17:00:00,1340302,Napoli
2024-04-08 17:00:00,1340304,Napoli
2024-04-09 17:00:00,1340311,Napoli
2024-04-10 17:00:00,1340314,Napoli
2024-04-11 17:00:00,1340316,Napoli
2024-04-12 17:00:00,1340316,Napoli
2024-04-13 17:00:00,1340317,Napoli
2024-04-14 17:00:00,1340317,Napoli
2024-04-15 17:00:00,1340317,Napoli
2024-04-16 17:00:00,1340319,Napoli
2024-04-17 17:00:00,1340320,Napoli
2024-04-18 17:00:00,1340322,Napoli
2024-04-19 17:00:00,1340332,Napoli
2024-04-20 17:00:00,1340334,Napoli
2024-04-21 17:00:00,1340338,Napoli
2024-04-22 17:00:00,1340339,Napoli
2024-04-23 17:00:00,1340344,Napoli
2024-04-24 17:00:00,1340349,Napoli
2024-04-25 17:00:00,1340352,Napoli
2024-04-26 17:00:00,1340353,Napoli
2024-04-27 17:00:00,1340356,Napoli
2024-04-28 17:00:00,1340359,Napoli
2024-04-29 17:00:00,1340359,Napoli
2024-04-30 17:00:00,1340363,Napoli
2024-05-01 17:00:00,1340365,Napoli
2024-05-02 17:00:00,1340367,Napoli
2024-05-03 17:00:00,1340376,Napoli
2024-05-04 17:00:00,1340381,Napoli
2024-05-05 17:00:00,1340384,Napoli
2024-05-06 17:00:00,1340386,Napoli
2024-05-07 17:00:00,1340393,Napoli
2024-05-08 17:00:00,1340399,Napoli
2024-05-09 17:00:00,1340406,Napoli
2024-05-10 17:00:00,1340408,Napoli
2024-05-11 17:00:00,1340411,Napoli
2024-05-12 17:00:00,1340413,Napoli
2024-05-13 17:00:00,1340416,Napoli
2024-05-14 17:00:00,1340426,Napoli
2024-05-15 17:00:00,1340437,Napoli
2024-05-16 17:00:00,1340441,Napoli
2024-05-17 17:00:00,1340444,Napoli
2024-05-18 17:00:00,1340451,Napoli
2024-05-19 17:00:00,1340456,Napoli
2024-05-20 17:00:00,1340457,Napoli
2024-05-21 17:00:00,1340463,Napoli
2024-05-22 17:00:00,1340468,Napoli
2024-05-23 17:00:00,1340473,Napoli
2024-05-24 17:00:00,1340476,Napoli
2024-05-25 17:00:00,1340484,Napoli
2024-05-26 17:00:00,1340486,Napoli
2024-05-27 17:00:00,1340487,Napoli
2024-05-28 17:00:00,1340502,Napoli
2024-05-29 17:00:00,1340507,Napoli
2024-05-30 17:00:00,1340520,Napoli
2024-05-31 17:00:00,1340526,Napoli
2024-06-01 17:00:00,1340532,Napoli
2024-06-02 17:00:00,1340537,Napoli
2024-06-03 17:00:00,1340540,Napoli
2024-06-04 17:00:00,1340562,Napoli
2024-06-05 17:00:00,1340574,Napoli
2024-06-06 17:00:00,1340590,Napoli
2024-06-07 17:00:00,1340605,Napoli
2024-06-08 17:00:00,1340618,Napoli
2024-06-09 17:00:00,1340626,Napoli
2024-06-10 17:00:00,1340629,Napoli
2024-06-11 17:00:00,1340665,Napoli
2024-06-12 17:00:00,1340682,Napoli
2024-06-13 17:00:00,1340705,Napoli
2024-06-14 17:00:00,1340727,Napoli
2024-06-15 17:00:00,1340746,Napoli
2024-06-16 17:00:00,1340763,Napoli
2024-06-17 17:00:00,1340771,Napoli
2024-06-18 17:00:00,1340807,Napoli
2024-06-19 17:00:00,1340838,Napoli
2024-06-20 17:00:00,1340857,Napoli
2024-06-21 17:00:00,1340875,Napoli
2024-06-22 17:00:00,1340895,Napoli
2024-06-23 17:00:00,1340909,Napoli
2024-06-24 17:00:00,1340926,Napoli
2024-06-25 17:00:00,1340977,Napoli
2024-06-26 17:00:00,1341001,Napoli
