data,totale_casi,denominazione_provincia
2024-01-01 17:00:00,430406,Palermo
2024-01-02 17:00:00,430406,Palermo
2024-01-03 17:00:00,430411,Palermo
2024-01-04 17:00:00,430435,Palermo
2024-01-05 17:00:00,430442,Palermo
2024-01-06 17:00:00,430453,Palermo
2024-01-07 17:00:00,430455,Palermo
2024-01-08 17:00:00,430455,Palermo
2024-01-09 17:00:00,430460,Palermo
2024-01-10 17:00:00,430472,Palermo
2024-01-11 17:00:00,430478,Palermo
2024-01-12 17:00:00,430479,Palermo
2024-01-13 17:00:00,430484,Palermo
2024-01-14 17:00:00,430485,Palermo
2024-01-15 17:00:00,430485,Palermo
2024-01-16 17:00:00,430485,Palermo
2024-01-17 17:00:00,430490,Palermo
2024-01-18 17:00:00,430502,Palermo
2024-01-19 17:00:00,430506,Palermo
2024-01-20 17:00:00,430519,Palermo
2024-01-21 17:00:00,430519,Palermo
2024-01-22 17:00:00,430519,Palermo
2024-01-23 17:00:00,430528,Palermo
2024-01-24 17:00:00,430530,Palermo
2024-01-25 17:00:00,430533,Palermo
2024-01-26 17:00:00,430536,Palermo
2024-01-27 17:00:00,430536,Palermo
2024-01-28 17:00:00,430536,Palermo
2024-01-29 17:00:00,430536,Palermo
2024-01-30 17:00:00,430536,Palermo
2024-01-31 17:00:00,430541,Palermo
2024-02-01 17:00:00,430542,Palermo
2024-02-02 17:00:00,430546,Palermo
2024-02-03 17:00:00,430546,Palermo
2024-02-04 17:00:00,430546,Palermo
2024-02-05 17:00:00,430546,Palermo
2024-02-06 17:00:00,430552,Palermo
2024-02-07 17:00:00,430553,Palermo
2024-02-08 17:00:00,430553,Palermo
2024-02-09 17:00:00,430554,Palermo
2024-02-10 17:00:00,430556,Palermo
2024-02-11 17:00:00,430557,Palermo
2024-02-12 17:00:00,430557,Palermo
2024-02-13 17:00:00,430557,Palermo
2024-02-14 17:00:00,430560,Palermo
2024-02-15 17:00:00,430560,Palermo
2024-02-16 17:00:00,430561,Palermo
2024-02-17 17:00:00,430564,Palermo
2024-02-18 17:00:00,430564,Palermo
2024-02-19 17:00:00,430564,Palermo
2024-02-20 17:00:00,430564,Palermo
2024-02-21 17:00:00,430564,Palermo
2024-02-22 17:00:00,430564,Palermo
2024-02-23 17:00:00,430567,Palermo
2024-02-24 17:00:00,430568,Palermo
2024-02-25 17:00:00,430570,Palermo
2024-02-26 17:00:00,430570,Palermo
2024-02-27 17:00:00,430571,Palermo
2024-02-28 17:00:00,430571,Palermo
2024-02-29 17:00:00,430571,Palermo
2024-03-01 17:00:00,430572,Palermo
2024-03-02 17:00:00,430572,Palermo
2024-03-03 17:00:00,430574,Palermo
2024-03-04 17:00:00,430574,Palermo
2024-03-05 17:00:00,430574,Palermo
2024-03-06 17:00:00,430575,Palermo
2024-03-07 17:00:00,430578,Palermo
2024-03-08 17:00:00,430685,Palermo
2024-03-09 17:00:00,430698,Palermo
2024-03-10 17:00:00,430698,Palermo
2024-03-11 17:00:00,430698,Palermo
2024-03-12 17:00:00,430701,Palermo
2024-03-13 17:00:00,430701,Palermo
2024-03-14 17:00:00,430701,Palermo
2024-03-15 17:00:00,430702,Palermo
2024-03-16 17:00:00,430702,Palermo
2024-03-17 17:00:00,430702,Palermo
2024-03-18 17:00:00,430706,Palermo
2024-03-19 17:00:00,430708,Palermo
2024-03-20 17:00:00,430709,Palermo
2024-03-21 17:00:00,430710,Palermo
2024-03-22 17:00:00,430711,Palermo
2024-03-23 17:00:00,430712,Palermo
2024-03-24 17:00:00,430712,Palermo
2024-03-25 17:00:00,430714,Palermo
2024-03-26 17:00:00,430717,Palermo
2024-03-27 17:00:00,430718,Palermo
2024-03-28 17:00:00,430718,Palermo
2024-03-29 17:00:00,430718,Palermo
2024-03-30 17:00:00,430718,Palermo
2024-03-31 17:00:00,430718,Palermo
2024-04-01 17:00:00,430720,Palermo
2024-04-02 17:00:00,430720,Palermo
2024-04-03 17:00:00,430720,Palermo
2024-04-04 17:00:00,430720,Palermo
2024-04-05 17:00:00,430720,Palermo
2024-04-06 17:00:00,430720,Palermo
2024-04-07 17:00:00,430720,Palermo
2024-04-08 17:00:00,430720,Palermo
2024-04-09 17:00:00,430722,Palermo
2024-04-10 17:00:00,430723,Palermo
2024-04-11 17:00:00,430725,Palermo
2024-04-12 17:00:00,430725,Palermo
2024-04-13 17:00:00,430725,Palermo
2024-04-14 17:00:00,430725,Palermo
2024-04-15 17:00:00,430725,Palermo
2024-04-16 17:00:00,430726,Palermo
2024-04-17 17:00:00,430726,Palermo
2024-04-18 17:00:00,430726,Palermo
2024-04-19 17:00:00,430726,Palermo
2024-04-20 17:00:00,430728,Palermo
2024-04-21 17:00:00,430728,Palermo
2024-04-22 17:00:00,430728,Palermo
2024-04-23 17:00:00,430728,Palermo
2024-04-24 17:00:00,430728,Palermo
2024-04-25 17:00:00,430729,Palermo
2024-04-26 17:00:00,430729,Palermo
2024-04-27 17:00:00,430732,Palermo
2024-04-28 17:00:00,430732,Palermo
2024-04-29 17:00:00,430732,Palermo
2024-04-30 17:00:00,430733,Palermo
2024-05-01 17:00:00,430733,Palermo
2024-05-02 17:00:00,430733,Palermo
2024-05-03 17:00:00,430733,Palermo
2024-05-04 17:00:00,430733,Palermo
2024-05-05 17:00:00,430733,Palermo
2024-05-06 17:00:00,430733,Palermo
2024-05-07 17:00:00,430733,Palermo
2024-05-08 17:00:00,430736,Palermo
2024-05-09 17:00:00,430736,Palermo
