data,totale_casi,denominazione_provincia
2024-01-01 17:00:00,183748,Parma
2024-01-02 17:00:00,183749,Parma
2024-01-03 17:00:00,183770,Parma
2024-01-04 17:00:00,183772,Parma
2024-01-05 17:00:00,183791,Parma
2024-01-06 17:00:00,183802,Parma
2024-01-07 17:00:00,183803,Parma
2024-01-08 17:00:00,183805,Parma
2024-01-09 17:00:00,183810,Parma
2024-01-10 17:00:00,183838,Parma
2024-01-11 17:00:00,183836,Parma
2024-01-12 17:00:00,183847,Parma
2024-01-13 17:00:00,183850,Parma
2024-01-14 17:00:00,183845,Parma
2024-01-15 17:00:00,183844,Parma
2024-01-16 17:00:00,183865,Parma
2024-01-17 17:00:00,183879,Parma
2024-01-18 17:00:00,183889,Parma
2024-01-19 17:00:00,183898,Parma
2024-01-20 17:00:00,183895,Parma
2024-01-21 17:00:00,183894,Parma
2024-01-22 17:00:00,183898,Parma
2024-01-23 17:00:00,183906,Parma
2024-01-24 17:00:00,183910,Parma
2024-01-25 17:00:00,183923,Parma
2024-01-26 17:00:00,183923,Parma
2024-01-27 17:00:00,183924,Parma
2024-01-28 17:00:00,183930,Parma
2024-01-29 17:00:00,183927,Parma
2024-01-30 17:00:00,183929,Parma
2024-01-31 17:00:00,183934,Parma
2024-02-01 17:00:00,183935,Parma
2024-02-02 17:00:00,183932,Parma
2024-02-03 17:00:00,183942,Parma
2024-02-04 17:00:00,183934,Parma
2024-02-05 17:00:00,183951,Parma
2024-02-06 17:00:00,183937,Parma
2024-02-07 17:00:00,183945,Parma
2024-02-08 17:00:00,183953,Parma
2024-02-09 17:00:00,183952,Parma
2024-02-10 17:00:00,183881,Parma
2024-02-11 17:00:00,183879,Parma
2024-02-12 17:00:00,183880,Parma
2024-02-13 17:00:00,183883,Parma
2024-02-14 17:00:00,183895,Parma
2024-02-15 17:00:00,183882,Parma
2024-02-16 17:00:00,183895,Parma
2024-02-17 17:00:00,183898,Parma
2024-02-18 17:00:00,183883,Parma
2024-02-19 17:00:00,183886,Parma
2024-02-20 17:00:00,183893,Parma
2024-02-21 17:00:00,183895,Parma
2024-02-22 17:00:00,183898,Parma
2024-02-23 17:00:00,183901,Parma
2024-02-24 17:00:00,183906,Parma
2024-02-25 17:00:00,183899,Parma
2024-02-26 17:00:00,183904,Parma
2024-02-27 17:00:00,183910,Parma
2024-02-28 17:00:00,183908,Parma
2024-02-29 17:00:00,183915,Parma
