data,totale_casi,denominazione_provincia
2024-01-01 17:00:00,333108,Perugia
2024-01-02 17:00:00,333131,Perugia
2024-01-03 17:00:00,333131,Perugia
2024-01-04 17:00:00,333275,Perugia
2024-01-05 17:00:00,333313,Perugia
2024-01-06 17:00:00,333339,Perugia
2024-01-07 17:00:00,333352,Perugia
2024-01-08 17:00:00,333142,Perugia
2024-01-09 17:00:00,333169,Perugia
2024-01-10 17:00:00,333422,Perugia
2024-01-11 17:00:00,333439,Perugia
2024-01-12 17:00:00,333456,Perugia
2024-01-13 17:00:00,333471,Perugia
2024-01-14 17:00:00,333478,Perugia
2024-01-15 17:00:00,333488,Perugia
2024-01-16 17:00:00,333499,Perugia
2024-01-17 17:00:00,333509,Perugia
2024-01-18 17:00:00,333518,Perugia
2024-01-19 17:00:00,333526,Perugia
2024-01-20 17:00:00,333535,Perugia
2024-01-21 17:00:00,333542,Perugia
2024-01-22 17:00:00,333547,Perugia
2024-01-23 17:00:00,333552,Perugia
2024-01-24 17:00:00,333560,Perugia
2024-01-25 17:00:00,333563,Perugia
2024-01-26 17:00:00,333570,Perugia
2024-01-27 17:00:00,333576,Perugia
2024-01-28 17:00:00,333580,Perugia
2024-01-29 17:00:00,333584,Perugia
2024-01-30 17:00:00,333588,Perugia
2024-01-31 17:00:00,333593,Perugia
2024-02-01 17:00:00,333596,Perugia
2024-02-02 17:00:00,333598,Perugia
2024-02-03 17:00:00,333600,Perugia
2024-02-04 17:00:00,333605,Perugia
2024-02-05 17:00:00,333605,Perugia
2024-02-06 17:00:00,333614,Perugia
2024-02-07 17:00:00,333618,Perugia
2024-02-08 17:00:00,333625,Perugia
2024-02-09 17:00:00,333628,Perugia
2024-02-10 17:00:00,333630,Perugia
2024-02-11 17:00:00,333633,Perugia
2024-02-12 17:00:00,333633,Perugia
2024-02-13 17:00:00,333636,Perugia
2024-02-14 17:00:00,333636,Perugia
2024-02-15 17:00:00,333637,Perugia
2024-02-16 17:00:00,333637,Perugia
2024-02-17 17:00:00,333638,Perugia
2024-02-18 17:00:00,333640,Perugia
2024-02-19 17:00:00,333643,Perugia
2024-02-20 17:00:00,333646,Perugia
2024-02-21 17:00:00,333648,Perugia
2024-02-22 17:00:00,333648,Perugia
2024-02-23 17:00:00,333649,Perugia
2024-02-24 17:00:00,333649,Perugia
2024-02-25 17:00:00,333649,Perugia
2024-02-26 17:00:00,333651,Perugia
2024-02-27 17:00:00,333653,Perugia
2024-02-28 17:00:00,333654,Perugia
2024-02-29 17:00:00,333654,Perugia
2024-03-01 17:00:00,333654,Perugia
2024-03-02 17:00:00,333658,Perugia
2024-03-03 17:00:00,333660,Perugia
2024-03-04 17:00:00,333660,Perugia
2024-03-05 17:00:00,333661,Perugia
2024-03-06 17:00:00,333663,Perugia
2024-03-07 17:00:00,333663,Perugia
2024-03-08 17:00:00,333663,Perugia
2024-03-09 17:00:00,333664,Perugia
2024-03-10 17:00:00,333665,Perugia
2024-03-11 17:00:00,20186,Perugia
2024-03-12 17:00:00,333665,Perugia
2024-03-13 17:00:00,333667,Perugia
2024-03-14 17:00:00,333669,Perugia
2024-03-15 17:00:00,333669,Perugia
2024-03-16 17:00:00,333669,Perugia
2024-03-17 17:00:00,333669,Perugia
2024-03-18 17:00:00,333669,Perugia
2024-03-19 17:00:00,333670,Perugia
2024-03-20 17:00:00,333671,Perugia
2024-03-21 17:00:00,333673,Perugia
2024-03-22 17:00:00,333673,Perugia
2024-03-23 17:00:00,333673,Perugia
2024-03-24 17:00:00,333673,Perugia
2024-03-25 17:00:00,333673,Perugia
2024-03-26 17:00:00,333673,Perugia
2024-03-27 17:00:00,333674,Perugia
2024-03-28 17:00:00,333677,Perugia
2024-03-29 17:00:00,333677,Perugia
2024-03-30 17:00:00,333677,Perugia
2024-03-31 17:00:00,333677,Perugia
2024-04-01 17:00:00,333679,Perugia
2024-04-02 17:00:00,333679,Perugia
2024-04-03 17:00:00,333684,Perugia
2024-04-04 17:00:00,333686,Perugia
2024-04-05 17:00:00,333687,Perugia
2024-04-06 17:00:00,333691,Perugia
2024-04-07 17:00:00,333692,Perugia
2024-04-08 17:00:00,333692,Perugia
2024-04-09 17:00:00,333693,Perugia
2024-04-10 17:00:00,333694,Perugia
2024-04-11 17:00:00,333695,Perugia
2024-04-12 17:00:00,333695,Perugia
2024-04-13 17:00:00,333695,Perugia
2024-04-14 17:00:00,333695,Perugia
2024-04-15 17:00:00,333695,Perugia
2024-04-16 17:00:00,333698,Perugia
2024-04-17 17:00:00,333698,Perugia
2024-04-18 17:00:00,333699,Perugia
2024-04-19 17:00:00,333700,Perugia
2024-04-20 17:00:00,333701,Perugia
2024-04-21 17:00:00,333701,Perugia
2024-04-22 17:00:00,333701,Perugia
2024-04-23 17:00:00,333701,Perugia
2024-04-24 17:00:00,333701,Perugia
2024-04-25 17:00:00,333701,Perugia
2024-04-26 17:00:00,333701,Perugia
2024-04-27 17:00:00,333701,Perugia
2024-04-28 17:00:00,333701,Perugia
2024-04-29 17:00:00,333703,Perugia
2024-04-30 17:00:00,333704,Perugia
2024-05-01 17:00:00,333704,Perugia
2024-05-02 17:00:00,333704,Perugia
2024-05-03 17:00:00,333705,Perugia
2024-05-04 17:00:00,333706,Perugia
2024-05-05 17:00:00,333706,Perugia
2024-05-06 17:00:00,333706,Perugia
2024-05-07 17:00:00,333708,Perugia
2024-05-08 17:00:00,333709,Perugia
2024-05-09 17:00:00,333709,Perugia
2024-05-10 17:00:00,333713,Perugia
2024-05-11 17:00:00,333713,Perugia
2024-05-12 17:00:00,333715,Perugia
2024-05-13 17:00:00,333715,Perugia
2024-05-14 17:00:00,333715,Perugia
2024-05-15 17:00:00,333718,Perugia
2024-05-16 17:00:00,333721,Perugia
2024-05-17 17:00:00,333722,Perugia
2024-05-18 17:00:00,333722,Perugia
2024-05-19 17:00:00,333722,Perugia
2024-05-20 17:00:00,333722,Perugia
2024-05-21 17:00:00,333723,Perugia
2024-05-22 17:00:00,333727,Perugia
2024-05-23 17:00:00,333728,Perugia
2024-05-24 17:00:00,333730,Perugia
2024-05-25 17:00:00,333731,Perugia
2024-05-26 17:00:00,333732,Perugia
2024-05-27 17:00:00,333732,Perugia
2024-05-28 17:00:00,333732,Perugia
2024-05-29 17:00:00,333734,Perugia
2024-05-30 17:00:00,333734,Perugia
2024-05-31 17:00:00,333738,Perugia
2024-06-01 17:00:00,333741,Perugia
2024-06-02 17:00:00,333744,Perugia
2024-06-03 17:00:00,333746,Perugia
2024-06-04 17:00:00,333746,Perugia
2024-06-05 17:00:00,333749,Perugia
2024-06-06 17:00:00,333751,Perugia
