data,totale_casi,denominazione_provincia
2024-01-01 17:00:00,106890,Prato
2024-01-02 17:00:00,106900,Prato
2024-01-03 17:00:00,106919,Prato
2024-01-04 17:00:00,106934,Prato
2024-01-05 17:00:00,106941,Prato
2024-01-06 17:00:00,106950,Prato
2024-01-07 17:00:00,106954,Prato
2024-01-08 17:00:00,106959,Prato
2024-01-09 17:00:00,106968,Prato
2024-01-10 17:00:00,106980,Prato
2024-01-11 17:00:00,106988,Prato
2024-01-12 17:00:00,106992,Prato
2024-01-13 17:00:00,106997,Prato
2024-01-14 17:00:00,107001,Prato
2024-01-15 17:00:00,107002,Prato
2024-01-16 17:00:00,107008,Prato
2024-01-17 17:00:00,107016,Prato
2024-01-18 17:00:00,107022,Prato
2024-01-19 17:00:00,107023,Prato
2024-01-20 17:00:00,107026,Prato
2024-01-21 17:00:00,107032,Prato
2024-01-22 17:00:00,107034,Prato
2024-01-23 17:00:00,107040,Prato
2024-01-24 17:00:00,107044,Prato
2024-01-25 17:00:00,107048,Prato
2024-01-26 17:00:00,107050,Prato
2024-01-27 17:00:00,107055,Prato
2024-01-28 17:00:00,107061,Prato
2024-01-29 17:00:00,107061,Prato
2024-01-30 17:00:00,107066,Prato
2024-01-31 17:00:00,107070,Prato
2024-02-01 17:00:00,107075,Prato
2024-02-02 17:00:00,107079,Prato
2024-02-03 17:00:00,107080,Prato
2024-02-04 17:00:00,107080,Prato
2024-02-05 17:00:00,107080,Prato
2024-02-06 17:00:00,107081,Prato
2024-02-07 17:00:00,107081,Prato
2024-02-08 17:00:00,107082,Prato
2024-02-09 17:00:00,107083,Prato
2024-02-10 17:00:00,107083,Prato
2024-02-11 17:00:00,107083,Prato
2024-02-12 17:00:00,107084,Prato
2024-02-13 17:00:00,107087,Prato
2024-02-14 17:00:00,107089,Prato
2024-02-15 17:00:00,107089,Prato
2024-02-16 17:00:00,107090,Prato
2024-02-17 17:00:00,107092,Prato
2024-02-18 17:00:00,107092,Prato
2024-02-19 17:00:00,107092,Prato
2024-02-20 17:00:00,107094,Prato
2024-02-21 17:00:00,107097,Prato
2024-02-22 17:00:00,107098,Prato
2024-02-23 17:00:00,107100,Prato
2024-02-24 17:00:00,107100,Prato
2024-02-25 17:00:00,107100,Prato
2024-02-26 17:00:00,107101,Prato
2024-02-27 17:00:00,107101,Prato
2024-02-28 17:00:00,107101,Prato
2024-02-29 17:00:00,107101,Prato
2024-03-01 17:00:00,107102,Prato
2024-03-02 17:00:00,107102,Prato
2024-03-03 17:00:00,107102,Prato
2024-03-04 17:00:00,107102,Prato
2024-03-05 17:00:00,107103,Prato
2024-03-06 17:00:00,107103,Prato
2024-03-07 17:00:00,107104,Prato
2024-03-08 17:00:00,107104,Prato
