data,totale_casi,denominazione_provincia
2024-01-01 17:00:00,214213,Reggio di Calabria
2024-01-02 17:00:00,214229,Reggio di Calabria
2024-01-03 17:00:00,214312,Reggio di Calabria
2024-01-04 17:00:00,214344,Reggio di Calabria
2024-01-05 17:00:00,214378,Reggio di Calabria
2024-01-06 17:00:00,214414,Reggio di Calabria
2024-01-07 17:00:00,214423,Reggio di Calabria
2024-01-08 17:00:00,214431,Reggio di Calabria
2024-01-09 17:00:00,214475,Reggio di Calabria
2024-01-10 17:00:00,214494,Reggio di Calabria
2024-01-11 17:00:00,214510,Reggio di Calabria
2024-01-12 17:00:00,214520,Reggio di Calabria
2024-01-13 17:00:00,214530,Reggio di Calabria
2024-01-14 17:00:00,214538,Reggio di Calabria
2024-01-15 17:00:00,214540,Reggio di Calabria
2024-01-16 17:00:00,214545,Reggio di Calabria
2024-01-17 17:00:00,214550,Reggio di Calabria
2024-01-18 17:00:00,214557,Reggio di Calabria
2024-01-19 17:00:00,214560,Reggio di Calabria
2024-01-20 17:00:00,214570,Reggio di Calabria
2024-01-21 17:00:00,214572,Reggio di Calabria
2024-01-22 17:00:00,214573,Reggio di Calabria
2024-01-23 17:00:00,214577,Reggio di Calabria
2024-01-24 17:00:00,214584,Reggio di Calabria
2024-01-25 17:00:00,214588,Reggio di Calabria
2024-01-26 17:00:00,214594,Reggio di Calabria
2024-01-27 17:00:00,214598,Reggio di Calabria
2024-01-28 17:00:00,214602,Reggio di Calabria
2024-01-29 17:00:00,214602,Reggio di Calabria
2024-01-30 17:00:00,214604,Reggio di Calabria
2024-01-31 17:00:00,214607,Reggio di Calabria
2024-02-01 17:00:00,214607,Reggio di Calabria
2024-02-02 17:00:00,214608,Reggio di Calabria
2024-02-03 17:00:00,214611,Reggio di Calabria
2024-02-04 17:00:00,214613,Reggio di Calabria
2024-02-05 17:00:00,214613,Reggio di Calabria
2024-02-06 17:00:00,214615,Reggio di Calabria
2024-02-07 17:00:00,214616,Reggio di Calabria
2024-02-08 17:00:00,214618,Reggio di Calabria
2024-02-09 17:00:00,214618,Reggio di Calabria
2024-02-10 17:00:00,214622,Reggio di Calabria
2024-02-11 17:00:00,214622,Reggio di Calabria
2024-02-12 17:00:00,214624,Reggio di Calabria
2024-02-13 17:00:00,214626,Reggio di Calabria
2024-02-14 17:00:00,214630,Reggio di Calabria
2024-02-15 17:00:00,214630,Reggio di Calabria
2024-02-16 17:00:00,214630,Reggio di Calabria
2024-02-17 17:00:00,214632,Reggio di Calabria
