data,totale_casi,denominazione_provincia
2024-01-01 17:00:00,254360,Reggio nell'Emilia
2024-01-02 17:00:00,254373,Reggio nell'Emilia
2024-01-03 17:00:00,254436,Reggio nell'Emilia
2024-01-04 17:00:00,254499,Reggio nell'Emilia
2024-01-05 17:00:00,254520,Reggio nell'Emilia
2024-01-06 17:00:00,254543,Reggio nell'Emilia
2024-01-07 17:00:00,254562,Reggio nell'Emilia
2024-01-08 17:00:00,254564,Reggio nell'Emilia
2024-01-09 17:00:00,254576,Reggio nell'Emilia
2024-01-10 17:00:00,254576,Reggio nell'Emilia
2024-01-11 17:00:00,254597,Reggio nell'Emilia
2024-01-12 17:00:00,254602,Reggio nell'Emilia
2024-01-13 17:00:00,254608,Reggio nell'Emilia
2024-01-14 17:00:00,254618,Reggio nell'Emilia
2024-01-15 17:00:00,254614,Reggio nell'Emilia
2024-01-16 17:00:00,254625,Reggio nell'Emilia
2024-01-17 17:00:00,254628,Reggio nell'Emilia
2024-01-18 17:00:00,254628,Reggio nell'Emilia
2024-01-19 17:00:00,254631,Reggio nell'Emilia
2024-01-20 17:00:00,254646,Reggio nell'Emilia
2024-01-21 17:00:00,254649,Reggio nell'Emilia
2024-01-22 17:00:00,254649,Reggio nell'Emilia
2024-01-23 17:00:00,254649,Reggio nell'Emilia
2024-01-24 17:00:00,254648,Reggio nell'Emilia
2024-01-25 17:00:00,254666,Reggio nell'Emilia
2024-01-26 17:00:00,254664,Reggio nell'Emilia
2024-01-27 17:00:00,254674,Reggio nell'Emilia
2024-01-28 17:00:00,254668,Reggio nell'Emilia
2024-01-29 17:00:00,254681,Reggio nell'Emilia
2024-01-30 17:00:00,254689,Reggio nell'Emilia
2024-01-31 17:00:00,254676,Reggio nell'Emilia
2024-02-01 17:00:00,254682,Reggio nell'Emilia
2024-02-02 17:00:00,254690,Reggio nell'Emilia
2024-02-03 17:00:00,254689,Reggio nell'Emilia
2024-02-04 17:00:00,254695,Reggio nell'Emilia
2024-02-05 17:00:00,254694,Reggio nell'Emilia
2024-02-06 17:00:00,254702,Reggio nell'Emilia
2024-02-07 17:00:00,254695,Reggio nell'Emilia
2024-02-08 17:00:00,254713,Reggio nell'Emilia
2024-02-09 17:00:00,254715,Reggio nell'Emilia
2024-02-10 17:00:00,254669,Reggio nell'Emilia
2024-02-11 17:00:00,254669,Reggio nell'Emilia
2024-02-12 17:00:00,254675,Reggio nell'Emilia
2024-02-13 17:00:00,254665,Reggio nell'Emilia
2024-02-14 17:00:00,254662,Reggio nell'Emilia
2024-02-15 17:00:00,254682,Reggio nell'Emilia
2024-02-16 17:00:00,254670,Reggio nell'Emilia
2024-02-17 17:00:00,254669,Reggio nell'Emilia
2024-02-18 17:00:00,254691,Reggio nell'Emilia
