data,totale_casi,denominazione_provincia
2024-01-01 17:00:00,122165,Trieste
2024-01-02 17:00:00,122172,Trieste
2024-01-03 17:00:00,122192,Trieste
2024-01-04 17:00:00,122214,Trieste
2024-01-05 17:00:00,122227,Trieste
2024-01-06 17:00:00,122244,Trieste
2024-01-07 17:00:00,122246,Trieste
2024-01-08 17:00:00,122250,Trieste
2024-01-09 17:00:00,122260,Trieste
2024-01-10 17:00:00,122266,Trieste
2024-01-11 17:00:00,122284,Trieste
2024-01-12 17:00:00,122289,Trieste
2024-01-13 17:00:00,122297,Trieste
2024-01-14 17:00:00,122299,Trieste
2024-01-15 17:00:00,122305,Trieste
2024-01-16 17:00:00,122313,Trieste
2024-01-17 17:00:00,122318,Trieste
2024-01-18 17:00:00,122325,Trieste
2024-01-19 17:00:00,122329,Trieste
2024-01-20 17:00:00,122336,Trieste
2024-01-21 17:00:00,122336,Trieste
2024-01-22 17:00:00,122338,Trieste
2024-01-23 17:00:00,122341,Trieste
2024-01-24 17:00:00,122342,Trieste
2024-01-25 17:00:00,122345,Trieste
2024-01-26 17:00:00,122350,Trieste
2024-01-27 17:00:00,122351,Trieste
2024-01-28 17:00:00,122352,Trieste
2024-01-29 17:00:00,122353,Trieste
2024-01-30 17:00:00,122353,Trieste
2024-01-31 17:00:00,122355,Trieste
2024-02-01 17:00:00,122360,Trieste
2024-02-02 17:00:00,122360,Trieste
2024-02-03 17:00:00,122363,Trieste
2024-02-04 17:00:00,122368,Trieste
2024-02-05 17:00:00,122370,Trieste
2024-02-06 17:00:00,122388,Trieste
2024-02-07 17:00:00,122392,Trieste
2024-02-08 17:00:00,122395,Trieste
2024-02-09 17:00:00,122399,Trieste
2024-02-10 17:00:00,122399,Trieste
2024-02-11 17:00:00,122399,Trieste
2024-02-12 17:00:00,122401,Trieste
2024-02-13 17:00:00,122405,Trieste
2024-02-14 17:00:00,122408,Trieste
2024-02-15 17:00:00,122415,Trieste
2024-02-16 17:00:00,122419,Trieste
2024-02-17 17:00:00,122419,Trieste
2024-02-18 17:00:00,122419,Trieste
2024-02-19 17:00:00,122420,Trieste
2024-02-20 17:00:00,122422,Trieste
2024-02-21 17:00:00,122424,Trieste
2024-02-22 17:00:00,122425,Trieste
2024-02-23 17:00:00,122426,Trieste
2024-02-24 17:00:00,122427,Trieste
2024-02-25 17:00:00,122427,Trieste
2024-02-26 17:00:00,122429,Trieste
2024-02-27 17:00:00,122430,Trieste
2024-02-28 17:00:00,122432,Trieste
2024-02-29 17:00:00,122434,Trieste
2024-03-01 17:00:00,122434,Trieste
2024-03-02 17:00:00,122436,Trieste
2024-03-03 17:00:00,122436,Trieste
2024-03-04 17:00:00,122436,Trieste
2024-03-05 17:00:00,122436,Trieste
2024-03-06 17:00:00,122438,Trieste
2024-03-07 17:00:00,122438,Trieste
2024-03-08 17:00:00,122438,Trieste
2024-03-09 17:00:00,122438,Trieste
2024-03-10 17:00:00,122438,Trieste
2024-03-11 17:00:00,122439,Trieste
2024-03-12 17:00:00,122440,Trieste
2024-03-13 17:00:00,122440,Trieste
2024-03-14 17:00:00,122440,Trieste
2024-03-15 17:00:00,122440,Trieste
2024-03-16 17:00:00,122441,Trieste
2024-03-17 17:00:00,122441,Trieste
2024-03-18 17:00:00,122441,Trieste
2024-03-19 17:00:00,122442,Trieste
2024-03-20 17:00:00,122442,Trieste
2024-03-21 17:00:00,122443,Trieste
2024-03-22 17:00:00,122444,Trieste
2024-03-23 17:00:00,122444,Trieste
2024-03-24 17:00:00,122444,Trieste
2024-03-25 17:00:00,122445,Trieste
2024-03-26 17:00:00,122445,Trieste
2024-03-27 17:00:00,122445,Trieste
2024-03-28 17:00:00,122446,Trieste
2024-03-29 17:00:00,122446,Trieste
2024-03-30 17:00:00,122447,Trieste
2024-03-31 17:00:00,122447,Trieste
2024-04-01 17:00:00,122447,Trieste
2024-04-02 17:00:00,122447,Trieste
2024-04-03 17:00:00,122449,Trieste
2024-04-04 17:00:00,122449,Trieste
2024-04-05 17:00:00,122449,Trieste
2024-04-06 17:00:00,122450,Trieste
2024-04-07 17:00:00,122450,Trieste
2024-04-08 17:00:00,122450,Trieste
2024-04-09 17:00:00,122450,Trieste
2024-04-10 17:00:00,122449,Trieste
2024-04-11 17:00:00,122449,Trieste
2024-04-12 17:00:00,122450,Trieste
2024-04-13 17:00:00,122450,Trieste
2024-04-14 17:00:00,122449,Trieste
2024-04-15 17:00:00,122449,Trieste
2024-04-16 17:00:00,122450,Trieste
2024-04-17 17:00:00,122450,Trieste
2024-04-18 17:00:00,122451,Trieste
2024-04-19 17:00:00,122451,Trieste
2024-04-20 17:00:00,122451,Trieste
2024-04-21 17:00:00,122451,Trieste
2024-04-22 17:00:00,122452,Trieste
2024-04-23 17:00:00,122452,Trieste
2024-04-24 17:00:00,122452,Trieste
2024-04-25 17:00:00,122452,Trieste
2024-04-26 17:00:00,122452,Trieste
2024-04-27 17:00:00,122453,Trieste
2024-04-28 17:00:00,122454,Trieste
2024-04-29 17:00:00,122454,Trieste
2024-04-30 17:00:00,122454,Trieste
2024-05-01 17:00:00,122454,Trieste
2024-05-02 17:00:00,122454,Trieste
2024-05-03 17:00:00,122454,Trieste
2024-05-04 17:00:00,122454,Trieste
2024-05-05 17:00:00,122454,Trieste
2024-05-06 17:00:00,122454,Trieste
2024-05-07 17:00:00,122454,Trieste
2024-05-08 17:00:00,122454,Trieste
2024-05-09 17:00:00,122454,Trieste
2024-05-10 17:00:00,122455,Trieste
2024-05-11 17:00:00,122455,Trieste
2024-05-12 17:00:00,122458,Trieste
2024-05-13 17:00:00,122459,Trieste
2024-05-14 17:00:00,122459,Trieste
2024-05-15 17:00:00,122460,Trieste
2024-05-16 17:00:00,122460,Trieste
