data,infected_Agrigento,infected_Alessandria,infected_Ancona,infected_Aosta,infected_Arezzo,infected_Ascoli_Piceno,infected_Asti,infected_Avellino,infected_Bari,infected_Barletta-Andria-Trani,infected_Belluno,infected_Benevento,infected_Bergamo,infected_Biella,infected_Bologna,infected_Bolzano,infected_Brescia,infected_Brindisi,infected_Cagliari,infected_Caltanissetta,infected_Campobasso,infected_Caserta,infected_Catania,infected_Catanzaro,infected_Chieti,infected_Como,infected_Cosenza,infected_Cremona,infected_Crotone,infected_Cuneo,infected_Enna,infected_Fermo,infected_Ferrara,infected_Firenze,infected_Foggia,infected_Forlì-Cesena,infected_Frosinone,infected_Genova,infected_Gorizia,infected_Grosseto,infected_Imperia,infected_Isernia,infected_L'Aquila,infected_La_Spezia,infected_Latina,infected_Lecce,infected_Lecco,infected_Livorno,infected_Lodi,infected_Lucca,infected_Macerata,infected_Mantova,infected_Massa_Carrara,infected_Matera,infected_Messina,infected_Milano,infected_Modena,infected_Monza_e_della_Brianza,infected_Napoli,infected_Novara,infected_Nuoro,infected_Oristano,infected_Padova,infected_Palermo,infected_Parma,infected_Pavia,infected_Perugia,infected_Pesaro_e_Urbino,infected_Pescara,infected_Piacenza,infected_Pisa,infected_Pistoia,infected_Pordenone,infected_Potenza,infected_Prato,infected_Ragusa,infected_Ravenna,infected_Reggio_di_Calabria,infected_Reggio_nell'Emilia,infected_Rieti,infected_Rimini,infected_Roma,infected_Rovigo,infected_Salerno,infected_Sassari,infected_Savona,infected_Siena,infected_Siracusa,infected_Sondrio,infected_Sud_Sardegna,infected_Taranto,infected_Teramo,infected_Terni,infected_Torino,infected_Trapani,infected_Trento,infected_Treviso,infected_Trieste,infected_Udine,infected_Varese,infected_Venezia,infected_Verbano-Cusio-Ossola,infected_Vercelli,infected_Verona,infected_Vibo_Valentia,infected_Vicenza,infected_Viterbo
2024-01-01 17:00:00,142041,164825,224802,48100,149172,105413,84021,171066,539498,139532,107381,107305,345914,72366,498348,282488,547470,160913,156079,96937,78136,397122,426697,117878,198674,262684,197930,149635,60852,218647,51199,86585,164235,440800,233668,218891,202682,359288,65563,92651,90172,27055,138861,101744,265534,358614,133172,152522,97573,179818,146070,191558,86722,68129,258873,1385591,319803,391034,1336665,136938,68890,56998,562258,430406,183748,239294,333108,139392,163071,114456,193992,127835,145032,130770,106890,125553,208527,214213,254360,70769,194657,1868179,126508,485916,141005,107276,118363,161561,70516,102913,226157,163956,105007,957523,140652,253129,506807,122165,255747,382328,478755,65321,64544,494027,54468,504417,108809
2024-01-02 17:00:00,142041,164829,224811,48100,149183,105416,84026,171075,539537,139541,107383,107308,345919,72369,498360,282496,547502,160919,156079,96937,78137,397153,426697,117883,198684,262687,197947,149644,60852,218652,51199,86586,164249,440811,233687,218890,202694,359308,65563,92659,90178,27058,138894,101756,265544,358632,133176,152531,97576,179829,146076,191572,86724,68131,258873,1385649,319807,391055,1336764,136940,68892,57000,562271,430406,183749,239309,333131,139403,163076,114468,194000,127839,145040,130779,106900,125553,208534,214229,254373,70769,194662,1868458,126513,485955,141008,107279,118370,161561,70517,102913,226176,163970,105009,957550,140653,253138,506817,122172,255763,382334,478764,65327,64546,494051,54483,504430,108813
2024-01-03 17:00:00,142041,164863,224859,48105,149207,105424,84037,171184,539789,139582,107417,107354,345992,72388,498406,282519,547619,160973,156079,96938,78160,397289,426738,117894,198747,262723,198064,149689,60860,218689,51199,86593,164259,440879,233791,218920,202754,359397,65580,92688,90197,27071,139005,101794,265673,358776,133209,152575,97625,179865,146091,191626,86745,68138,258873,1385977,319815,391151,1337277,136956,68905,57002,562414,430411,183770,239358,333131,139423,163129,114492,194044,127876,145080,130795,106919,125564,208546,214312,254436,70783,194685,1869471,126567,486209,141034,107295,118403,161561,70534,102913,226260,164040,105009,957722,140657,253164,506899,122192,255814,382424,478906,65340,64563,494141,54487,504555,108838
2024-01-04 17:00:00,142045,164888,224898,48108,149232,105429,84043,171243,539931,139597,107440,107387,346051,72402,498432,282533,547694,161006,156079,96940,78166,397387,426744,117900,198747,262763,198140,149715,60873,218705,51199,86597,164284,440915,233864,218947,202792,359443,65587,92707,90211,27077,139005,101811,265745,358892,133225,152611,97642,179883,146105,191673,86755,68142,258916,1386155,319844,391186,1337581,136967,68913,57005,562503,430435,183772,239392,333275,139436,163129,114505,194067,127891,145097,130802,106934,125566,208563,214344,254499,70790,194723,1870013,126589,486369,141056,107309,118423,161562,70537,102922,226341,164040,105052,957857,140662,253182,506978,122214,255844,382515,478956,65354,64570,494180,54491,504624,108839
2024-01-05 17:00:00,142047,164900,224933,48112,149249,105439,84049,171295,540137,139625,107454,107405,346084,72406,498450,282545,547757,161062,156079,96941,78184,397481,426754,117904,198789,262782,198191,149736,60873,218729,51199,86602,164297,440984,233922,218967,202818,359480,65596,92723,90222,27081,139112,101824,265808,359004,133242,152626,97658,179898,146109,191697,86767,68145,258916,1386325,319853,391229,1337859,136981,68927,57011,562578,430442,183791,239423,333313,139459,163180,114535,194079,127903,145108,130823,106941,125568,208570,214378,254520,70804,194748,1870656,126604,486508,141074,107321,118444,161563,70541,102932,226405,164133,105067,957952,140664,253203,507033,122227,255863,382556,479014,65359,64575,494219,54493,504700,108844
2024-01-06 17:00:00,142049,164913,224968,48121,149268,105448,84056,171345,540249,139651,107468,107424,346124,72413,498496,282561,547818,161087,156079,96944,78188,397563,426767,117916,198816,262814,198249,149752,60873,218745,51200,86609,164300,441032,233960,218966,202840,359518,65601,92735,90228,27090,139124,101834,265859,359075,133260,152644,97663,179911,146114,191784,86772,68149,258928,1386449,319867,391254,1338099,136993,68935,57023,562617,430453,183802,239448,333339,139474,163191,114534,194097,127909,145126,130830,106950,125570,208587,214414,254543,70814,194765,1871137,126617,486612,141107,107333,118461,161563,70546,102939,226449,164152,105081,958043,140666,253221,507070,122244,255884,382629,479074,65368,64580,494243,54493,504741,108849
2024-01-07 17:00:00,142050,164919,224972,48121,149277,105449,84061,171350,540289,139662,107469,107429,346130,72413,498521,282565,547836,161096,156079,96944,78193,397581,426767,117923,198820,262819,198266,149755,60873,218753,51200,86611,164312,441048,233975,218991,202850,359530,65601,92740,90228,27093,139124,101841,265868,359089,133260,152649,97665,179915,146115,191791,86776,68149,258928,1386487,319872,391270,1338161,136993,68938,57027,562641,430455,183803,239460,333352,139476,163197,114550,194100,127910,145128,130831,106954,125570,208584,214423,254562,70815,194775,1871263,126618,486642,141114,107335,118467,161563,70546,102939,226468,164158,105083,958062,140670,253228,507080,122246,255892,382636,479084,65370,64580,494259,54493,504758,108850
2024-01-08 17:00:00,142050,164929,224981,48126,149287,105451,84062,171362,540335,139667,107470,107432,346139,72416,498509,282567,547854,161104,156079,96944,78193,397612,426767,117936,198827,262828,198283,149759,60873,218760,51200,86613,164334,441054,233990,218984,202853,359547,65601,92745,90231,27093,139155,101845,265879,359106,133264,152655,97669,179925,146117,191797,86780,68151,258928,1386525,319888,391282,1338243,136999,68940,57029,562662,430455,183805,239471,333142,139480,163200,114549,194107,127910,145135,130840,106959,125570,208598,214431,254564,70819,194791,1871465,126623,486678,141121,107339,118473,161563,70546,102941,226478,164181,105009,958097,140671,253235,507083,122250,255900,382644,479094,65375,64580,494267,54496,504778,108854
2024-01-09 17:00:00,142051,164944,225021,48130,149295,105460,84072,171411,540491,139691,107490,107456,346182,72424,498561,282581,547938,161143,156079,96944,78199,397712,426768,117942,198895,262864,198348,149780,60880,218786,51200,86619,164320,441107,234067,218983,202886,359590,65613,92763,90246,27095,139194,101863,265952,359221,133287,152676,97693,179945,146130,191848,86786,68157,258944,1386748,319897,391340,1338518,137016,68947,57036,562767,430460,183810,239514,333169,139487,163216,114562,194138,127929,145146,130846,106968,125577,208631,214475,254576,70831,194812,1872125,126668,486847,141140,107349,118489,161563,70554,102959,226553,164205,105027,958230,140673,253256,507135,122260,255937,382691,479195,65378,64589,494322,54499,504892,108864
2024-01-10 17:00:00,142055,164954,225065,48135,149303,105464,84081,171439,540564,139702,107494,107470,346210,72430,498553,282593,547984,161166,156079,96946,78211,397774,426771,117951,198903,262878,198398,149788,60880,218799,51200,86625,164341,441130,234093,219013,202906,359630,65617,92771,90250,27098,139207,101871,265978,359262,133300,152696,97705,179959,146132,191864,86790,68159,258960,1386851,319894,391369,1338679,137024,68953,57038,562841,430472,183838,239535,333422,139503,163224,114575,194236,127936,145151,130850,106980,125581,208626,214494,254576,70835,194817,1872424,126691,486922,141153,107369,118500,161563,70557,102962,226591,164225,105117,958298,140676,253264,507171,122266,255960,382754,479249,65381,64592,494943,54506,504953,108866
