city,r2_score,n_connections,linked_cities,active_functions
Torino,0.9998,3,Genova; Milano; Roma,weighted_add; weighted_add; weighted_add
Bologna,0.9998,2,Firenze; Roma,weighted_add
Roma,0.9997,1,Milano,weighted_add
Genova,0.9997,2,Bologna; Torino,weighted_add
Firenze,0.9997,3,Bari; Roma; Torino,avg; avg
Bari,0.9997,4,Bologna; Palermo; Roma; Torino,avg; weighted_add; weighted_add
Palermo,0.9994,3,Bari; Genova; Napoli,weighted_add; weighted_add
Napoli,0.999,2,Roma; Torino,min; weighted_add; avg
Catania,0.9982,2,Firenze; Palermo,avg
Milano,0.9915,1,Roma,weighted_add
