city_1,city_2,connection_strength_R2,is_significant,is_ground_truth,classification
Bologna,Genova,0.9999,True,False,FP
Bologna,Milano,0.9999,True,True,TP
Milano,Torino,0.9998,True,True,TP
Roma,Torino,0.9998,True,False,FP
Genova,Torino,0.9998,True,False,FP
Bari,Firenze,0.9997,True,False,FP
Firenze,Roma,0.9997,True,True,TP
Bari,Napoli,0.9996,True,True,TP
Bari,Bologna,0.9996,True,False,FP
Bari,Torino,0.9996,True,False,FP
Bari,Milano,0.9996,True,False,FP
Bari,Palermo,0.9996,True,False,FP
Genova,Palermo,0.9991,True,False,FP
Napoli,Palermo,0.9991,True,True,TP
Napoli,Torino,0.9988,True,False,FP
Bologna,Catania,0.9983,True,False,FP
Catania,Napoli,0.9983,True,False,FP
Catania,Palermo,0.9983,True,True,TP
Milano,Roma,0.9982,True,False,FP
