spillover,lag,avg_r2,max_r2,n_above_threshold
1%,1,0.9957,0.9998,10
1%,2,0.9989,0.9997,10
1%,3,0.9989,0.9998,10
1%,5,0.9983,0.9997,10
1%,7,0.998,0.9997,10
1%,10,0.9986,0.9997,10
1%,14,0.9979,0.9996,10
1%,21,0.998,0.9996,10
5%,1,0.9987,0.9998,10
5%,2,0.9982,0.9997,10
5%,3,0.999,0.9997,10
5%,5,0.9982,0.9996,10
5%,7,0.9982,0.9996,10
5%,10,0.9981,0.9997,10
5%,14,0.9979,0.9995,10
5%,21,0.998,0.9996,10
10%,1,0.9987,0.9998,10
10%,2,0.9984,0.9998,10
10%,3,0.9985,0.9997,10
10%,5,0.9983,0.9998,10
10%,7,0.9983,0.9998,10
10%,10,0.9982,0.9996,10
10%,14,0.9981,0.9995,10
10%,21,0.9982,0.9995,10
