data,milano_infected,roma_infected,napoli_infected,torino_infected,palermo_infected,genova_infected,bologna_infected,firenze_infected,bari_infected,catania_infected
2022-01-01,239.79761121488025,20.967626299764646,297.4899779325837,0.0,43.39143828011696,0.0,8.780716534939181,0.0,0.0,136.85328569065535
2022-01-02,380.76000000439865,20.967626299764646,331.6234423745225,97.1526443971919,43.39143828011696,0.0,39.283659670220324,0.0,81.63705225544638,184.74169510854472
2022-01-03,441.3088305319153,374.0447485389891,331.6234423745225,97.1526443971919,129.11890379153493,33.891737777465195,165.41921179700142,0.0,215.62430557535802,208.70811024778138
2022-01-04,802.9818094447542,610.8467147408132,816.7644129794389,196.78105678264797,191.16421380901082,163.73553131776998,281.3917380674244,90.86243529366133,360.1144492082637,250.88382009323828
2022-01-05,1228.199363692905,1056.5285525063027,939.3346674858246,585.9279980244264,473.05339712444675,339.7325904296313,359.03501454437964,118.41813431312433,542.3741757734823,250.88382009323828
2022-01-06,1779.613317660731,1687.573761224762,1486.584845442787,920.1450954934419,473.05339712444675,412.1748286593487,505.87521472900994,212.33578618089774,631.2005404827636,284.7569241754824
2022-01-07,2267.129723559268,2694.0528385841244,1983.4184455955983,1440.4370907472332,769.0368119871147,589.7805491380046,762.5223590155258,292.4200200525523,736.8448735610945,448.02742191290804
2022-01-08,3383.850325808731,4273.058734144757,2644.7679485281415,2161.503599303266,1026.98406495374,730.2721344180227,979.9517294454313,464.2987576129437,1060.5885610153564,597.2670083506571
2022-01-09,4909.324177024472,5829.666245008831,3730.445037008063,2984.9439531571925,1443.976831515595,924.3344425936763,1322.9469115317995,802.5291348895842,1272.4140320865683,682.4798046422306
2022-01-10,6753.516232574515,8143.413847892708,5305.84150027133,4098.882969925224,1720.3181853046628,1250.9886668750075,1722.4240194602473,1235.4740880683219,1686.692309466158,837.4613384862855
2022-01-11,9586.158649346875,11134.535440749893,7265.034877362194,5493.5351663641695,2076.949022048918,1608.19089177399,2233.733450107739,1758.9441063423155,2173.2263927384074,1015.8093430384199
2022-01-12,13345.263583126824,15030.45493237982,10086.529893207538,7360.617172849222,2524.7335262656893,2199.831778083843,2951.7885498352935,2558.9760664100672,2960.7281390891185,1396.2564028056543
2022-01-13,18030.760188430766,20015.030473672217,13269.806712502126,9782.672281478815,3378.0472986427367,3026.6154473430047,4034.3447291572747,3468.7879027973013,3849.4130693438783,1927.934725252428
2022-01-14,23994.254400827118,26323.859460908323,17518.569797934822,13170.98490956254,4629.437457059001,4147.8653580535065,5240.891794172826,4742.747445478608,4830.275029901088,2605.9071465773436
2022-01-15,31751.787282610025,35154.358704535734,22897.113840669743,17403.6662601536,6068.488982723842,5560.6073235104095,6909.237228434324,6354.6131892438225,6176.82229598839,3357.2024410313616
2022-01-16,41537.03534679643,45980.35211267324,30279.12942409267,23022.86976203466,7956.619026593103,7363.605860164163,9108.734832138041,8288.956773716702,8006.702944360113,4352.185843106174
2022-01-17,54400.487895749306,59833.88331969642,39458.682039940475,30170.979875769353,10289.63684210153,9775.661069863572,11963.013710667577,10855.953939125815,10407.96474740783,5690.575109721514
